Item_ID,Item_Name,Category,Food_Cost, Sell_Price, Margin_Pct, Qty_Sold, Total_Sales
101,Charred Sourdough & Whip,App,2.20,9.00,75.6,85,765
102,Crispy Brussels & Bacon,App,2.80,11.00,74.5,70,770
201,Hearthline Smash Burger,Entree,4.80,18.00,73.3,95,1710
202,Braised Short Rib Gnocchi,Entree,8.50,26.00,67.3,60,1560
203,Roast Chicken w/ Jus,Entree,6.00,23.00,73.9,55,1265
204,Chef's Seasonal Halibut,Entree,12.00,29.00,58.6,40,1160
301,Sticky Toffee Pudding,Dessert,2.50,10.00,75.0,45,450
401,House Old Fashioned,Cocktail,1.90,14.00,86.4,120,1680
402,Seasonal Spritz,Cocktail,1.70,13.00,86.9,90,1170
403,Zero-Proof Citrus Cooler,NA Beverage,0.90,8.00,88.8,40,320
